Log ID,Timestamp,Username,User Role,Action Type,Status,IP Address,Device Fingerprint,Browser/Client Info,Target Resource,Behavior Risk Score
96,2026-06-19 04:54:37,admin,admin,ADAPTIVE_VERIFY,SUCCESS,127.0.0.1,DEV_DEV_C6BB4428,Google Chrome,,0.0
95,2026-06-19 04:54:26,admin,admin,OTP_VERIFY,SUCCESS,127.0.0.1,DEV_DEV_C6BB4428,Google Chrome,,0.0
94,2026-06-19 04:53:49,admin,admin,LOGIN_STEP1,SUCCESS,127.0.0.1,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.124.2 Chrome/148.0.7778.97 Electron/42.2.0 Safari/537.36",,0.0
93,2026-06-19 04:13:11,admin,admin,ADAPTIVE_VERIFY,SUCCESS,127.0.0.1,DEV_DEV_159567323,Google Chrome,,0.0
92,2026-06-19 04:13:04,admin,admin,TRUST_SCORE_UPDATE,SUCCESS,127.0.0.1,,,"Trust score changed: 35 → 25 (event=unusual_time, delta=-10).",0.0
91,2026-06-19 04:13:04,admin,admin,OTP_VERIFY,SUCCESS,127.0.0.1,DEV_DEV_159567323,Google Chrome,,0.0
90,2026-06-19 04:12:43,admin,admin,LOGIN_STEP1,SUCCESS,127.0.0.1,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,0.0
89,2026-06-19 03:58:37,admin,admin,ADAPTIVE_VERIFY,SUCCESS,127.0.0.1,DEV_DEV_C6BB4428,Google Chrome,,0.0
88,2026-06-19 03:58:31,admin,admin,TRUST_SCORE_UPDATE,SUCCESS,127.0.0.1,,,"Trust score changed: 40 → 35 (event=new_device, delta=-5).",0.0
87,2026-06-19 03:58:31,admin,admin,OTP_VERIFY,SUCCESS,127.0.0.1,DEV_DEV_C6BB4428,Google Chrome,,0.0
86,2026-06-19 03:57:36,admin,admin,LOGIN_STEP1,SUCCESS,127.0.0.1,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.124.2 Chrome/148.0.7778.97 Electron/42.2.0 Safari/537.36",,0.0
85,2026-06-19 03:57:14,admin,admin,LOGIN_CREDENTIALS,FAILED,127.0.0.1,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.124.2 Chrome/148.0.7778.97 Electron/42.2.0 Safari/537.36",,0.0
84,2026-06-19 03:57:14,admin,admin,TRUST_SCORE_UPDATE,SUCCESS,127.0.0.1,,,"Trust score changed: 45 → 40 (event=failed_login, delta=-5).",0.0
83,2026-06-18 10:54:47,admin,admin,ADAPTIVE_VERIFY,SUCCESS,127.0.0.1,DEV_DEV_159567323,Google Chrome,,0.0
82,2026-06-18 10:54:42,admin,admin,OTP_VERIFY,SUCCESS,127.0.0.1,DEV_DEV_159567323,Google Chrome,,0.0
81,2026-06-18 10:54:13,admin,admin,LOGIN_STEP1,SUCCESS,127.0.0.1,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,0.0
80,2026-06-18 10:51:17,muru,admin,ADAPTIVE_VERIFY,SUCCESS,127.0.0.1,DEV_DEV_D0E3F4C,Microsoft Edge,,0.0
79,2026-06-18 10:51:07,muru,admin,OTP_VERIFY,SUCCESS,127.0.0.1,DEV_DEV_D0E3F4C,Microsoft Edge,,0.0
78,2026-06-18 10:50:24,muru,admin,LOGIN_STEP1,SUCCESS,127.0.0.1,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0",,0.0
77,2026-06-18 10:46:33,admin,admin,LOGIN_STEP1,SUCCESS,127.0.0.1,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,0.0
76,2026-06-18 10:34:30,murgan,admin,ADAPTIVE_VERIFY,SUCCESS,127.0.0.1,DEV_DEV_C6BB4428,Google Chrome,,0.0
75,2026-06-18 10:34:23,murgan,admin,TRUST_SCORE_UPDATE,SUCCESS,127.0.0.1,,,"Trust score changed: 90 → 75 (event=new_device, delta=-15).",0.0
74,2026-06-18 10:34:23,murgan,admin,OTP_VERIFY,SUCCESS,127.0.0.1,DEV_DEV_C6BB4428,Google Chrome,,0.0
73,2026-06-18 10:34:04,murgan,admin,LOGIN_STEP1,SUCCESS,127.0.0.1,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.124.2 Chrome/148.0.7778.97 Electron/42.2.0 Safari/537.36",,0.0
72,2026-06-18 10:27:55,admin,admin,ADAPTIVE_VERIFY,SUCCESS,127.0.0.1,DEV_DEV_159567323,Google Chrome,,0.0
71,2026-06-18 10:27:46,admin,admin,OTP_VERIFY,SUCCESS,127.0.0.1,DEV_DEV_159567323,Google Chrome,,0.0
70,2026-06-18 10:26:24,admin,admin,LOGIN_STEP1,SUCCESS,127.0.0.1,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,0.0
69,2026-06-18 10:25:51,john,employee,FILE_ACCESS,SUCCESS,127.0.0.1,,,Employee_Handbook.pdf,10.0
68,2026-06-18 10:24:32,john,employee,ADAPTIVE_VERIFY,SUCCESS,127.0.0.1,DEV_DEV_159567323,Google Chrome,,0.0
67,2026-06-18 10:24:21,john,employee,OTP_VERIFY,SUCCESS,127.0.0.1,DEV_DEV_159567323,Google Chrome,,0.0
66,2026-06-18 10:23:48,john,employee,LOGIN_STEP1,SUCCESS,127.0.0.1,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,0.0
65,2026-06-18 06:46:41,muru,admin,ADAPTIVE_VERIFY,SUCCESS,127.0.0.1,DEV_DEV_D0E3F4C,Microsoft Edge,,0.0
64,2026-06-18 06:46:33,muru,admin,TRUST_SCORE_UPDATE,SUCCESS,127.0.0.1,,,"Trust score changed: 35 → 30 (event=unusual_time, delta=-5).",0.0
63,2026-06-18 06:46:33,muru,admin,OTP_VERIFY,SUCCESS,127.0.0.1,DEV_DEV_D0E3F4C,Microsoft Edge,,0.0
62,2026-06-18 06:45:57,muru,admin,LOGIN_STEP1,SUCCESS,127.0.0.1,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0",,0.0
61,2026-06-18 06:44:02,john,employee,FILE_ACCESS,SUCCESS,127.0.0.1,,,Employee_Handbook.pdf,10.0
60,2026-06-18 06:43:32,john,employee,ADAPTIVE_VERIFY,SUCCESS,127.0.0.1,DEV_DEV_159567323,Google Chrome,,0.0
59,2026-06-18 06:43:26,john,employee,TRUST_SCORE_UPDATE,SUCCESS,127.0.0.1,,,"Trust score changed: 40 → 35 (event=unusual_time, delta=-5).",0.0
58,2026-06-18 06:43:26,john,employee,OTP_VERIFY,SUCCESS,127.0.0.1,DEV_DEV_159567323,Google Chrome,,0.0
57,2026-06-18 06:43:00,john,employee,TRUST_SCORE_UPDATE,SUCCESS,SYSTEM,,,"Trust score changed: 50 → 40 (event=otp_failed, delta=-10).",0.0
56,2026-06-18 06:42:24,john,employee,LOGIN_STEP1,SUCCESS,127.0.0.1,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,0.0
55,2026-06-18 06:40:44,admin,admin,ADAPTIVE_VERIFY,SUCCESS,127.0.0.1,DEV_DEV_159567323,Google Chrome,,0.0
54,2026-06-18 06:40:37,admin,admin,TRUST_SCORE_UPDATE,SUCCESS,127.0.0.1,,,"Trust score changed: 60 → 45 (event=new_device, delta=-15).",0.0
53,2026-06-18 06:40:37,admin,admin,OTP_VERIFY,SUCCESS,127.0.0.1,DEV_DEV_159567323,Google Chrome,,0.0
